tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve										tramstop	totalArriving	totalLeaving	totalArrMorning	totalLeaveMorning	totalArrEve	totalLeaveEve	maxQueueLength	time	maxWaitingTime	time	averageWaitTime	maxTramDelay	averageTramDelay/total	averageTramDelay/delayed	fractionOfRunsDelayed	passengersNotArrived
5	8946,17 (+-112,1)	0,09 (+-0,3)	299,74 (+-32)	0,03 (+-0,2)	3364,68 (+-138,2)	0,03 (+-0,2)										0	17	170	0	116	10	9	3	629,3303425	12,97904366	274,9328686	9,153612374	905,6666667	1,914563101	7,494146996	0,255474453	0
6	6714,1 (+-90,7)	211,06 (+-18,2)	205,69 (+-26,6)	83,32 (+-14,4)	2459,28 (+-124,7)	3,57 (+-1,9)										0	17	170	0	116	10	9	3	629,3303425	12,97904366	274,9328686	9,153612374	905,6666667	1,914563101	7,494146996	0,255474453	0
7	690,33 (+-26,1)	36,09 (+-6,4)	140,63 (+-14,5)	0,63 (+-0,8)	250,24 (+-22,7)	4,96 (+-2,2)										0	8	171	0	112	4	16	1	239,8666667	3,472378128	239,8666667	9,243550543	611,6	1,426132197	6,737245207	0,211678832	0
8	601,31 (+-25,3)	241,43 (+-16,1)	55,97 (+-7,6)	24,11 (+-4,9)	286,94 (+-25,6)	65,59 (+-7,6)										0	8	171	0	112	4	16	1	239,8666667	3,472378128	239,8666667	9,243550543	611,6	1,426132197	6,737245207	0,211678832	0
9	1251,91 (+-36,7)	486,05 (+-22)	188,42 (+-16,4)	50,17 (+-7)	288,28 (+-20,3)	206,53 (+-16,1)										0	8	171	0	112	4	16	1	239,8666667	3,472378128	239,8666667	9,243550543	611,6	1,426132197	6,737245207	0,211678832	0
10	22409,79 (+-263,4)	20858,32 (+-160,3)	9103,55 (+-568,3)	1280,51 (+-67,6)	2747,55 (+-133,2)	7054,08 (+-376,3)										0	17	176	1	101	7	14	2	569,7739176	7,614090194	569,7739176	6,060796476	513,6666667	1,46342343	6,913414134	0,211678832	0
13	2314,59 (+-52,4)	1898,04 (+-76,3)	654,23 (+-132,9)	291,95 (+-33,8)	341,7 (+-25,9)	351,56 (+-25,7)										0	17	176	1	101	7	14	2	569,7739176	7,614090194	569,7739176	6,060796476	513,6666667	1,46342343	6,913414134	0,211678832	0
14	357,21 (+-20,6)	1351,75 (+-57,6)	162,34 (+-19,7)	350,85 (+-36,9)	29,73 (+-6)	228,2 (+-18,8)										0	17	176	1	101	7	14	2	569,7739176	7,614090194	569,7739176	6,060796476	513,6666667	1,46342343	6,913414134	0,211678832	0
15	47,22 (+-6,8)	1163,58 (+-42)	25,11 (+-4,9)	265,52 (+-26,3)	4,77 (+-2,2)	327,94 (+-31,9)										0	17	145	0	99	9	10	2	249,8454096	11,98831144	225,9132266	7,107785052	462,2666667	1,304171298	6,61746177	0,197080292	0
16	12,02 (+-3,5)	10733,6 (+-274,5)	0,25 (+-0,6)	4693,73 (+-448,3)	8,94 (+-3)	913,78 (+-59,6)										0	17	145	0	99	9	10	2	249,8454096	11,98831144	225,9132266	7,107785052	462,2666667	1,304171298	6,61746177	0,197080292	0
17	8,09 (+-3)	6303,38 (+-207,8)	0,3 (+-0,6)	2156,99 (+-231,1)	6,6 (+-2,7)	632,56 (+-46,7)										0	17	145	0	99	9	10	2	249,8454096	11,98831144	225,9132266	7,107785052	462,2666667	1,304171298	6,61746177	0,197080292	0
18	5,75 (+-2,2)	2775,2 (+-98,4)	0,06 (+-0,2)	790,1 (+-102,6)	4,94 (+-2)	445,5 (+-32,3)										0	15	183	0	129	8	18	3	727,1081281	6,937826055	554,6666667	4,913075518	462,2666667	1,75202828	6,667440954	0,262773723	0
