;;;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan;AZU;;;;
R1065;9-9-2015;09:14;14,51332787;3,118636937;0;0;0;0;0;0;0;1,959107201;0;1,959107201;13,71375041;0;;;;
R1065;10-9-2015;09:14;457,169828;21,83045856;4,012905912;0;0;0;0;0;70,05534853;35,02767427;18,43561804;173,2948095;145,6413825;40,55835968;;;;
R1065;11-9-2015;09:14;393,6740186;6,237273875;2,675270608;0;0;0;0;0;61,93639432;20,03824522;5,464975969;131,1594233;102,0128848;81,97463954;;;;
R1065;14-9-2015;09:14;192,3015943;9,355910812;0;0;0;0;0;0;46,25172136;5,550206564;14,80055084;72,15268533;55,50206564;7,400275418;;;;
R1065;15-9-2015;09:14;0;15,59318469;0;0;0;0;0;0;0;0;0;3,118636937;6,237273875;6,237273875;;;;
R1065;16-9-2015;09:14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
R1065;17-9-2015;09:14;166,9032706;6,237273875;0;0;0;0;0;0;34,99649302;9,209603427;7,367682742;71,83490673;44,20609645;5,525762056;;;;
R1065;18-9-2015;09:14;143,3191128;15,59318469;2,675270608;0,39375;0;0;0;0;33,51337615;9,309271153;5,585562692;55,85562692;53,99377268;3,723708461;;;;
R1065;21-9-2015;09:14;161,4607726;0;5,350541216;0,39375;0;0;0;0;33,79676822;16,00899547;7,115109099;39,13310004;53,36331824;17,78777275;;;;
R1065;22-9-2015;09:14;159,6466066;9,355910812;0;0;0;0;0;0;63,14379772;13,00019365;0;42,71492199;44,57209251;5,571511564;;;;
R1065;23-9-2015;09:14;154,2041087;9,355910812;0;0;0;0;0;0;42,74864145;9,293182925;1,858636585;55,75909755;48,32455121;5,575909755;;;;
R1065;24-9-2015;09:14;96,15079717;12,47454775;0;0,39375;0;0;0;0;20,67603524;3,759279135;3,759279135;22,55567481;41,35207049;16,91675611;;;;
R1065;25-9-2015;09:14;58,0533115;46,77955406;0;0;0;0;0;0;0;2,230486501;0;37,91827052;51,30118953;13,38291901;;;;
R1065;28-9-2015;09:14;279,3815616;24,9490955;0;0;0;0;0;0;73,26478782;26,30018024;7,514337212;95,80779945;80,77912503;20,66442733;;;;
R1065;29-9-2015;09:14;190,4874284;12,47454775;0;0;0;0;0;0;46,55091195;14,89629182;5,586109434;46,55091195;59,5851673;29,79258365;;;;
R1065;30-9-2015;09:14;244,9124079;3,118636937;0;0;0;0;0;0;45,59394206;7,29503073;0;38,29891133;40,12266901;116,7204917;;;;
