Trip;Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde
R1016;25-9-2015;07:49;16,66875;11,96254889;6,487056495;34,40904007;0;2,848869496;0;0;0;0;4,25742735;12,77228205;12,77228205;42,5742735
R1016;28-9-2015;07:49;13,335;0;0;0;0;0;0;0;0;0;0;0;0;13,335
R1016;29-9-2015;07:49;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R1016;30-9-2015;07:49;33,3375;13,95630704;6,487056495;0;2,440668743;4,273304244;0;0;0;0;2,749765296;8,249295889;10,99906119;38,49671415
R1018;2-9-2015;07:54;0;0;0;0;0;5,697738992;0;0;0;0;0;0;0;5,697738992
R1018;3-9-2015;07:54;6,6675;5,981274445;6,487056495;0;0;0;0;0;0;0;0;3,189305157;9,56791547;6,378610313
R1018;4-9-2015;07:54;10,00125;0;0;22,93936005;0;11,39547798;0;0;0;0;0;0;13,64187324;30,69421479
R1018;7-9-2015;07:54;110,01375;3,987516297;0;22,93936005;7,322006229;9,971043237;0;0;0;0;9,844702711;3,28156757;19,68940542;121,4180001
R1018;8-9-2015;07:54;23,33625;11,96254889;6,487056495;11,46968002;0;15,66878223;0;0;0;0;2,650935294;10,60374118;13,25467647;42,4149647
R1018;9-9-2015;07:54;6,6675;3,987516297;6,487056495;11,46968002;4,881337486;5,697738992;0;0;0;0;0;0;13,06360976;26,12721953
R1018;10-9-2015;07:54;16,66875;11,96254889;12,97411299;0;0;2,848869496;0;0;0;0;0;2,963618758;17,78171255;23,70895007
R1018;11-9-2015;07:54;13,335;7,975032594;0;11,46968002;0;7,122173741;0;0;0;0;0;0;5,70026948;34,20161688
R1018;14-9-2015;07:54;26,67;0;0;0;0;5,697738992;0;0;0;0;0;2,697311583;13,48655791;16,1838695
R1018;15-9-2015;07:54;23,33625;7,975032594;0;11,46968002;0;7,122173741;0;0;0;0;0;2,935478609;11,74191444;35,22574331
R1018;16-9-2015;07:54;0;0;0;11,46968002;0;2,848869496;0;0;0;0;0;0;0;14,31854952
R1018;17-9-2015;07:54;10,00125;11,96254889;0;0;4,881337486;2,848869496;0;0;0;0;0;2,284154298;6,852462894;20,55738868
R1018;18-9-2015;07:54;16,66875;9,968790742;0;0;0;21,36652122;0;0;0;0;0;0;13,44113735;34,56292461
R1018;21-9-2015;07:54;30,00375;7,975032594;6,487056495;22,93936005;2,440668743;17,09321698;0;0;0;0;0;11,99159791;26,9810953;47,96639164
R1018;22-9-2015;07:54;26,67;13,95630704;0;11,46968002;0;1,424434748;0;0;0;0;0;6,296520213;15,74130053;31,48260107
R1018;23-9-2015;07:54;0;0;0;0;2,440668743;9,971043237;0;0;0;0;0;0;0;12,41171198
R1018;24-9-2015;07:54;0;0;0;0;2,440668743;14,24434748;0;0;0;0;0;0;1,516819657;15,16819657
R1018;25-9-2015;07:54;13,335;9,968790742;0;0;4,881337486;12,81991273;0;0;0;0;0;2,050252048;14,35176434;24,60302458
R1018;28-9-2015;07:54;80,01;7,975032594;0;22,93936005;4,881337486;21,36652122;0;0;0;0;11,67423416;11,67423416;46,69693663;67,1268464
R1018;29-9-2015;07:54;13,335;0;0;0;0;2,848869496;0;0;0;0;0;0;0;16,1838695
R1018;30-9-2015;07:54;20,0025;3,987516297;0;0;0;9,971043237;0;0;0;0;0;2,264070636;6,792211907;24,90477699
R1020;2-9-2015;07:58;6,6675;1,993758148;0;0;0;0;0;0;0;0;0;2,887086049;5,774172099;0
R1020;3-9-2015;07:58;26,67;19,93758148;0;22,93936005;9,762674971;38,4597382;0;0;0;0;4,618406067;4,618406067;9,236812134;99,29573044
R1020;4-9-2015;07:58;0;0;6,487056495;0;4,881337486;9,971043237;0;0;0;0;0;2,133943722;0;19,2054935
R1020;7-9-2015;07:58;16,66875;1,993758148;12,97411299;0;0;1,424434748;0;0;0;0;0;7,346901308;7,346901308;18,36725327
R1020;8-9-2015;07:58;0;0;0;0;0;2,848869496;0;0;0;0;0;0;0;2,848869496
R1020;9-9-2015;07:58;30,00375;21,93133963;6,487056495;0;0;5,697738992;0;0;0;0;0;7,694386214;17,95356783;38,47193107
R1020;10-9-2015;07:58;20,0025;9,968790742;0;0;4,881337486;8,546608489;0;0;0;0;2,284170354;0;9,136681414;31,97838495
R1020;11-9-2015;07:58;16,66875;5,981274445;6,487056495;0;0;35,6108687;0;0;0;0;1,90435146;0;7,61740584;55,22619234
R1020;14-9-2015;07:58;30,00375;0;0;34,40904007;4,881337486;14,24434748;0;0;0;0;6,961539586;0;17,40384897;59,17308649
R1020;15-9-2015;07:58;0;5,981274445;6,487056495;22,93936005;2,440668743;17,09321698;0;0;0;0;0;2,891661932;2,891661932;49,15825284
R1020;16-9-2015;07:58;36,67125;17,94382334;12,97411299;11,46968002;4,881337486;24,21539072;0;0;0;0;2,575133204;5,150266407;25,75133204;74,67886291
R1020;17-9-2015;07:58;0;1,993758148;0;0;0;0;0;0;0;0;0;0;0;1,993758148
R1020;18-9-2015;07:58;6,6675;1,993758148;0;11,46968002;4,881337486;12,81991273;0;0;0;0;2,522145893;0;2,522145893;32,78789661
R1020;21-9-2015;07:58;0;5,981274445;0;0;0;5,697738992;0;0;0;0;0;0;0;11,67901344
R1020;22-9-2015;07:58;36,67125;0;0;0;2,440668743;32,76199921;0;0;0;0;0;0;18,48186462;53,39205333
